"PERIODO","ANO","MES","SEMANA","DIA","HOJE","PONTO","ACESSO","FERIAS","AFASTADO","ADMITIDO","DEMITIDO","PONTO_BATIDAS","ACESSO_BATIDAS","REF_EXE_BATIDAS","REF_FUNC_BATIDAS","EXTRA","EXTERNO","ATRASO","CUSTO","TOTAL_FUNCIONARIOS","TOTAL_TRABALHANDO","MIN_DEMITIDO","MIN_EXTERNO","MIN_ATRASO","TOTAL_ATIVOS"
"15/10/2015","2015","10/2015", "5  Semana" ,"15/10","N","5451","0","0","24","0","0","6593","4228","755","2232","627","1072","226","3640","3653","0","0","-1072","-226","3502"
"15/10/2014","2014","10/2014", "4  Semana" ,"15/10","N","1","0","0","3","0","0","2","0","0","0","0","0","0","0","3691","0","0","0","0","3502"
"15/09/2014","2014","09/2014", "2  Semana" ,"15/09","N","1","0","0","46","0","0","2","0","0","0","0","0","0","1","3623","0","0","0","0","3502"
"15/08/2015","2015","08/2015", "7  Semana" ,"15/08","N","1661","0","0","10","0","0","3703","1022","0","791","1704","103","14","14196","3727","0","0","-103","-14","3502"
"15/08/2014","2014","08/2014", "6  Semana" ,"15/08","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3645","0","0","0","0","3502"
"15/07/2014","2014","07/2014", "3  Semana" ,"15/07","N","1","0","0","22","0","0","2","0","0","0","0","0","0","0","3614","0","0","0","0","3502"
"15/06/2015","2015","06/2015", "2  Semana" ,"15/06","N","1132","0","147","11","0","0","2438","1646","609","816","285","163","0","3151","3645","0","0","-163","0","3502"
"15/05/2015","2015","05/2015", "6  Semana" ,"15/05","N","1","0","0","47","0","0","2","0","0","0","0","0","0","0","3678","0","0","0","0","3502"
"15/04/2015","2015","04/2015", "4  Semana" ,"15/04","N","1","0","0","3","0","0","2","0","0","0","0","0","0","1","3620","0","0","0","0","3502"
"15/01/2016","2016","01/2016", "6  Semana" ,"15/01","N","5316","0","0","12","0","0","6484","4260","0","66","653","1470","144","3830","3576","0","0","-1470","-144","3502"
"15/01/2015","2015","01/2015", "5  Semana" ,"15/01","N","1","0","0","12","0","0","2","0","0","0","0","0","0","1","3682","0","0","0","0","3502"
"14/12/2015","2015","12/2015", "2  Semana" ,"14/12","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3591","0","0","0","0","3502"
"14/11/2015","2015","11/2015", "7  Semana" ,"14/11","N","2350","0","0","6","0","0","4223","2419","5","1462","248","492","18","2420","3688","0","0","-492","-18","3502"
"14/11/2014","2014","11/2014", "6  Semana" ,"14/11","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3610","0","0","0","0","3502"
"14/10/2014","2014","10/2014", "3  Semana" ,"14/10","N","1","0","0","3","0","0","2","0","0","0","0","0","0","0","3689","0","0","0","0","3502"
"14/08/2015","2015","08/2015", "6  Semana" ,"14/08","N","2515","0","0","25","0","0","5472","679","32","1792","553","60","83","5607","3727","0","0","-60","-83","3502"
"14/08/2014","2014","08/2014", "5  Semana" ,"14/08","N","1","0","0","2","0","0","2","0","0","0","0","0","0","0","3644","0","0","0","0","3502"
"14/07/2014","2014","07/2014", "2  Semana" ,"14/07","N","1","0","0","21","0","0","2","0","0","0","0","0","0","0","3611","0","0","0","0","3502"
"14/06/2015","2015","06/2015", "1  Semana" ,"14/06","N","157","0","0","5","0","0","358","255","0","0","2","32","0","15","3645","0","0","-32","0","3502"
"14/05/2015","2015","05/2015", "5  Semana" ,"14/05","N","2","0","0","32","0","0","4","0","0","0","8","0","0","66","3666","0","0","0","0","3502"
"14/04/2015","2015","04/2015", "3  Semana" ,"14/04","N","1","0","0","5","0","0","2","0","0","0","0","0","0","0","3621","0","0","0","0","3502"
"14/03/2015","2015","03/2015", "7  Semana" ,"14/03","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3579","0","0","0","0","3502"
"14/02/2016","2016","02/2016", "1  Semana" ,"14/02","N","328","0","0","5","0","0","789","557","0","0","0","58","0","0","3568","0","0","-58","0","3502"
"14/02/2015","2015","02/2015", "7  Semana" ,"14/02","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3637","0","0","0","0","3502"
"14/01/2015","2015","01/2015", "4  Semana" ,"14/01","N","1","0","0","73","0","0","2","0","0","0","0","0","0","0","3685","0","0","0","0","3502"
"13/12/2014","2014","12/2014", "7  Semana" ,"13/12","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3740","0","0","0","0","3502"
"13/11/2014","2014","11/2014", "5  Semana" ,"13/11","N","1","0","0","2","0","0","2","0","0","0","0","0","0","0","3611","0","0","0","0","3502"
"13/10/2014","2014","10/2014", "2  Semana" ,"13/10","N","1","0","0","50","0","0","2","0","0","0","0","0","0","0","3691","0","0","0","0","3502"
"13/09/2015","2015","09/2015", "1  Semana" ,"13/09","N","110","0","0","3","0","0","337","120","0","0","0","21","0","0","3672","0","0","-21","0","3502"
"13/09/2014","2014","09/2014", "7  Semana" ,"13/09","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3622","0","0","0","0","3502"
"13/08/2014","2014","08/2014", "4  Semana" ,"13/08","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3645","0","0","0","0","3502"
"13/06/2015","2015","06/2015", "7  Semana" ,"13/06","N","173","0","4","2","0","0","395","275","0","14","389","40","0","1913","3606","0","0","-40","0","3502"
"13/05/2015","2015","05/2015", "4  Semana" ,"13/05","N","1","0","0","37","0","0","2","0","0","0","0","0","0","0","3670","0","0","0","0","3502"
"13/04/2015","2015","04/2015", "2  Semana" ,"13/04","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3621","0","0","0","0","3502"
"13/03/2015","2015","03/2015", "6  Semana" ,"13/03","N","1","0","0","4","0","0","2","0","0","0","0","0","0","0","3577","0","0","0","0","3502"
"13/02/2016","2016","02/2016", "7  Semana" ,"13/02","N","2098","0","0","12","0","0","3890","2491","0","334","220","601","9","2331","3643","0","0","-601","-9","3502"
"13/02/2015","2015","02/2015", "6  Semana" ,"13/02","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3635","0","0","0","0","3502"
"13/01/2016","2016","01/2016", "4  Semana" ,"13/01","N","5580","0","0","9","28","0","6810","4541","0","68","805","1199","115","3940","3576","0","0","-1199","-115","3502"
"13/01/2015","2015","01/2015", "3  Semana" ,"13/01","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3685","0","0","0","0","3502"
"12/12/2015","2015","12/2015", "7  Semana" ,"12/12","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3592","0","0","0","0","3502"
"12/12/2014","2014","12/2014", "6  Semana" ,"12/12","N","1","0","0","3","0","0","2","0","0","0","0","0","0","0","3740","0","0","0","0","3502"
"12/11/2014","2014","11/2014", "4  Semana" ,"12/11","N","1","0","0","5","0","0","2","0","0","0","0","0","0","0","3611","0","0","0","0","3502"
"12/10/2015","2015","10/2015", "2  Semana" ,"12/10","N","199","0","0","1","0","0","284","90","0","2","188","0","20","1731","3568","0","0","0","-20","3502"
"12/09/2015","2015","09/2015", "7  Semana" ,"12/09","N","1616","0","0","6","0","0","2816","751","0","297","210","104","16","2091","3752","0","0","-104","-16","3502"
"12/09/2014","2014","09/2014", "6  Semana" ,"12/09","N","1","0","0","3","0","0","2","0","0","0","0","0","0","0","3623","0","0","0","0","3502"
"12/08/2014","2014","08/2014", "3  Semana" ,"12/08","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3644","0","0","0","0","3502"
"12/07/2014","2014","07/2014", "7  Semana" ,"12/07","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3611","0","0","0","0","3502"
"12/06/2015","2015","06/2015", "6  Semana" ,"12/06","N","1097","0","0","3","0","0","2441","2044","606","770","1674","191","0","16587","3606","0","0","-191","0","3502"
"12/05/2015","2015","05/2015", "3  Semana" ,"12/05","N","1","0","0","31","0","0","2","0","0","0","0","0","0","1","3673","0","0","0","0","3502"
"12/04/2015","2015","04/2015", "1  Semana" ,"12/04","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3608","0","0","0","0","3502"
"12/03/2015","2015","03/2015", "5  Semana" ,"12/03","N","1","0","0","1","0","0","2","0","0","0","0","0","0","1","3577","0","0","0","0","3502"
"12/02/2016","2016","02/2016", "6  Semana" ,"12/02","N","5375","0","0","19","0","0","6653","4666","0","0","702","1837","249","3703","3644","0","0","-1837","-249","3502"
"12/02/2015","2015","02/2015", "5  Semana" ,"12/02","N","1","0","0","2","0","0","2","0","0","0","0","0","0","0","3637","0","0","0","0","3502"
"12/01/2015","2015","01/2015", "2  Semana" ,"12/01","N","1","0","0","2","0","0","2","0","0","0","0","0","0","0","3685","0","0","0","0","3502"
"11/12/2015","2015","12/2015", "6  Semana" ,"11/12","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3591","0","0","0","0","3502"
"11/12/2014","2014","12/2014", "5  Semana" ,"11/12","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3742","0","0","0","0","3502"
"11/11/2014","2014","11/2014", "3  Semana" ,"11/11","N","1","0","0","7","0","0","2","0","0","0","0","0","0","0","3613","0","0","0","0","3502"
"11/10/2015","2015","10/2015", "1  Semana" ,"11/10","N","150","0","0","1","0","0","434","114","0","0","0","4","0","0","3568","0","0","-4","0","3502"
"11/10/2014","2014","10/2014", "7  Semana" ,"11/10","N","1","0","0","0","0","0","2","0","0","0","0","0","0","1","3689","0","0","0","0","3502"
"11/09/2014","2014","09/2014", "5  Semana" ,"11/09","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3622","0","0","0","0","3502"
"11/08/2015","2015","08/2015", "3  Semana" ,"11/08","N","2553","0","0","21","0","0","5529","0","0","896","556","0","159","5497","3727","0","0","0","-159","3502"
"11/08/2014","2014","08/2014", "2  Semana" ,"11/08","N","1","0","0","34","0","0","2","0","0","0","0","0","0","0","3645","0","0","0","0","3502"
"11/07/2015","2015","07/2015", "7  Semana" ,"11/07","N","919","0","0","7","0","0","2636","836","0","613","2624","126","0","20581","3592","0","0","-126","0","3502"
"11/05/2015","2015","05/2015", "2  Semana" ,"11/05","N","2","0","0","39","0","0","2","0","0","0","0","0","0","0","3683","0","0","0","0","3502"
"11/04/2015","2015","04/2015", "7  Semana" ,"11/04","N","1","0","0","0","0","0","2","0","0","0","0","0","0","0","3620","0","0","0","0","3502"
"11/03/2015","2015","03/2015", "4  Semana" ,"11/03","N","1","0","0","3","0","0","2","0","0","0","0","0","0","0","3577","0","0","0","0","3502"
"11/02/2016","2016","02/2016", "5  Semana" ,"11/02","N","5584","0","0","17","0","0","6958","4379","0","320","1075","1590","240","5843","3636","0","0","-1590","-240","3502"
"11/02/2015","2015","02/2015", "4  Semana" ,"11/02","N","1","0","0","61","0","0","2","0","0","0","0","0","0","0","3635","0","0","0","0","3502"
"10/12/2015","2015","12/2015", "5  Semana" ,"10/12","N","1","0","0","21","0","0","2","0","0","0","0","0","0","0","3590","0","0","0","0","3502"
"10/12/2014","2014","12/2014", "4  Semana" ,"10/12","N","1","0","0","82","0","0","2","0","0","0","0","0","0","0","3742","0","0","0","0","3502"
"10/11/2014","2014","11/2014", "2  Semana" ,"10/11","N","1","0","0","38","0","0","2","0","0","0","0","0","0","0","3613","0","0","0","0","3502"
"10/10/2014","2014","10/2014", "6  Semana" ,"10/10","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3689","0","0","0","0","3502"
"10/09/2014","2014","09/2014", "4  Semana" ,"10/09","N","1","0","0","1","0","0","2","0","0","0","0","0","0","0","3623","0","0","0","0","3502"
"10/08/2015","2015","08/2015", "2  Semana" ,"10/08","N","1890","0","36","36","29","0","3828","1858","0","1040","551","18","1071","5472","3727","0","0","-18","-1071","3502"
"10/04/2015","2015","04/2015", "6  Semana" ,"10/04","N","1","0","0","5","0","0","2","0","0","0","0","0","0","0","3621","0","0","0","0","3502"
"10/03/2015","2015","03/2015", "3  Semana" ,"10/03","N","1","0","0","3","0","0","2","0","0","0","0","0","0","0","3577","0","0","0","0","3502"
"10/02/2016","2016","02/2016", "4  Semana" ,"10/02","N","4546","0","0","53","23","0","5265","4435","0","1287","793","953","327","4146","3636","0","0","-953","-327","3502"
"10/02/2015","2015","02/2015", "3  Semana" ,"10/02","N","2","0","0","0","0","0","2","0","0","0","0","0","0","0","3622","0","0","0","0","3502"
"10/01/2016","2016","01/2016", "1  Semana" ,"10/01","N","3","0","0","1","0","0","264","304","0","0","4","35","0","0","3482","0","0","-35","0","3502"
